Company,Categories,Stage,HQ,Heard on the show,Tech to Watch,Website,What they do
CMIC,Financial / Payments; Project Management,Unknown,,,,,"Construction-specific ERP platform covering project management, accounting, and HR that GCs run their back office on."
Command Post,Field Operations,Unknown,,,,,Voice-to-text daily reporting and field-documentation app for construction sites.
Comstruct,Supply Chain & Procurement,Series A,"Munich, Germany",,,https://www.comstruct.com,Procurement and invoice-reconciliation digitizing materials ordering between contractors and suppliers
ConCntric,Preconstruction & Estimating,Series A,"Greenbrae, CA",,,https://concntric.com,"Preconstruction platform unifying cost, scope and design decisions in one workspace"
conmeet,Project Management; Scheduling; Supply Chain & Procurement; Financial / Payments,Seed,"Borken, Germany",,,,"AI-native operating system for mid-sized trades and construction firms, unifying project management, procurement, scheduling, site documentation, finance and invoicing on one data model."
Constrafor,Financial / Payments; Supply Chain & Procurement,Series A,"New York, NY",,,https://www.constrafor.com,GC-subcontractor procurement platform with embedded Early Pay financing so subs get paid in 1-2 days instead of 83
Construction Gamma,AI / Data Infrastructure,Bootstrapped,,,,,"Private verified-members community for construction pros (AI best practices, shared workflows/prompts) plus an independent Procore MCP connector letting Claude query Procore data"
Contracts Connected,Financial / Payments; Project Management,Unknown,,yes,yes,https://contractsconnected.com,"AI automation of back-office contracts, document collection, compliance and vendor management"
Coral,Financial / Payments; Sustainability,Seed,,,,,AI software that guarantees and advances exact utility heat-pump rebate amounts at point of sale for contractors.
Creature,Design / BIM / VDC,Unknown,,,,,Integrated design+construction company delivering industrialized/modular healthcare projects (~100 volumetric modules per 60k sq ft hospital) using manufacturer production models
Cumulus,Field Operations,Unknown,,,,,Software digitizing QA/QC paperwork for electrical and mechanical contractors on data-center projects via Bluetooth-enabled tools.
Cupix,Reality Capture,Unknown,,yes,,https://cupix.com,360° reality capture and digital twin platform for jobsite documentation
dConstruct Robotics,Robotics & Hardware; Reality Capture,Unknown,,,,,Builds AI-powered scanning robots for construction sites.
Digs,Owner / Facilities,Seed,"Vancouver, WA",,,https://digs.com,AI for home builders: preconstruction collaboration through 3D digital-twin handover and AI warranty management
Dili,Financial / Payments; Workforce / Training; AI / Data Infrastructure,Series A,"New York, NY",,,https://www.dili.com,"AI-native compliance platform that automates prevailing wage monitoring, Davis-Bacon compliance, and certified payroll review for federally funded infrastructure and construction projects."
DIRTT,Robotics & Hardware; Design / BIM / VDC,Public,,,,,Publicly traded manufacturer of prefabricated interior construction systems with proprietary ICE configuration software.
Document Crunch,Financial / Payments; Project Management,Growth / PE,"Atlanta, GA",yes,,https://documentcrunch.com,"AI contract review, risk identification and compliance for construction documents"
Doxel,AI / Data Infrastructure; Reality Capture,Unknown,,,,,AI-driven progress tracking and clash-detection platform using computer vision on jobsite data.
DroneDeploy,Reality Capture,Series C+,"San Francisco, CA",yes,,https://dronedeploy.com,Drone and ground reality capture with AI progress tracking
Dusty Robotics,Robotics & Hardware; Field Operations,Series B,,yes,,,Robotics company making an automated robotic layout tool (FieldPrinter) for jobsite floor layout.
Early Trade,Financial / Payments,Series A,,,,,Subcontractor payment/working-capital marketplace offering early payments to subs on construction projects.
EarthCam,Reality Capture; Safety,Unknown,,,,,Jobsite camera and AI-based safety-monitoring company providing construction site imaging and time-lapse services.
Ecoworks,Sustainability; Reality Capture,Unknown,,,,,Startup retrofitting residential/office buildings to net-zero using prefab wooden facade panels manufactured from digital-twin scans.
Edify,Preconstruction & Estimating,Unknown,,,,,"GC-centric preconstruction and cost-conversation estimating software co-founded by Dustin, expanding into self-perform estimating."
Ediphi,Preconstruction & Estimating,Unknown,,,,,"Cloud-based preconstruction estimating and system-of-record platform, originally developed inside Suffolk Construction and spun out under CEO Dustin DeVan."
Egnyte,AI / Data Infrastructure; Project Management,Growth / PE,,,,,Cloud content management and data governance platform serving the AEC industry.
Endra,Design / BIM / VDC; Project Management,Series A,,,,,"MEP engineering workspace/software startup for coordinating mechanical, electrical, and plumbing design work."
Enlay,AI / Data Infrastructure,Seed,,,,,"AI predictive risk-intelligence layer for construction, built on knowledge/graph networks of past projects."
Eno Drape,Sustainability,Unknown,,,,,"Startup turning underground spaces (basements, parking, tunnels) into geothermal heating/cooling sources via wall-mounted panels."
Eos Group,Preconstruction & Estimating,Unknown,,,,,Cost-estimating technology company providing the Cortex data-analytics and conceptual-estimating platform plus benchmarking/predictive-analytics consulting.
Evercam,Reality Capture,Unknown,"Dublin, Ireland",,,https://evercam.io,Construction time-lapse and AI jobsite camera platform
Facus,Financial / Payments,Series A,,,,,French fintech 'neo-bank for construction' offering invoice factoring to construction SMBs.
Field AI,Robotics & Hardware; AI / Data Infrastructure,Series C+,"Mission Viejo, CA",yes,,https://fieldai.com,Foundation models ('field brains') powering autonomous robots across construction and industrial sites
Field Materials,Supply Chain & Procurement,Series A,"Charlotte, NC",,,https://www.fieldmaterials.com,"AI reading vendor quotes, delivery slips and invoices for materials/equipment rentals, pushing data into accounting systems"
Fieldproof,Workforce / Training; AI / Data Infrastructure,Bootstrapped,,,,https://fieldproof.io,"AI/tech implementation consulting and boot camps for construction firms ($20M–$100M MEPs and services firms), franchising-style network model"
Fieldwire by Hilti,Field Operations; Project Management,Growth / PE,,,,https://fieldwire.com,Field task management and plan viewing; acquired by Hilti
Fixxly,Supply Chain & Procurement; Field Operations,Seed,"Bengaluru, India",,,https://fixxly.in,"AI-powered quick-commerce platform delivering building materials, plywood, paint, electricals, lighting, hardware, plumbing, to jobsites within 30 minutes via a dark-store network."
Foresight,Scheduling,Series A,"London, UK",,,https://www.foresight.works,Predictive project delivery running AI over existing P6/MS Project schedules to forecast delays on megaprojects (data centers)
FormX,Design / BIM / VDC; Preconstruction & Estimating; Supply Chain & Procurement,Seed,"Sunnyvale / SF Bay Area, CA",,,https://www.formx.com,"AI platform that designs, engineers and permits custom single-family homes and ADUs, then delivers them as modular construction kits."
Fyld,Field Operations; AI / Data Infrastructure; Safety,Series B,"London, UK",,,https://fyld.ai,"AI that converts field-crew videos into actionable safety, quality and productivity data for infrastructure work"
Gaudi AI,Preconstruction & Estimating; Scheduling; AI / Data Infrastructure,Pre-seed,"San Francisco, CA",,,,"Back-office AI for contractors that delivers completed, auditable work products, estimates, bid levelling, change orders and schedules."
goNEON,Design / BIM / VDC; Preconstruction & Estimating; AI / Data Infrastructure,Pre-seed,"Zurich, Switzerland",,,https://www.goneon.city,"ETH Zurich spin-off building an agentic AI service that generates technically feasible, regulation-compliant infrastructure and mobility designs in minutes rather than months."
Gravis Robotics,Robotics & Hardware; Field Operations,Unknown,,,,,Swiss/Munich-based autonomous excavation company building robotics for heavy earthmoving equipment.
GreenVibe,Field Operations; Robotics & Hardware; AI / Data Infrastructure,Seed,"Tel Aviv, Israel",,,https://greenvibe.io,"Wireless multi-sensor devices embedded in concrete before the pour that report strength, temperature, density, workability and humidity every 30 minutes, replacing cylinder break tests."
Gritt,Robotics & Hardware; Field Operations,Series A,"San Francisco, CA",,,https://gritt.ai,"AI-controlled robots that bolt onto rented, off-the-shelf construction equipment to automate solar farm build-out, and, next, data centers and large infrastructure."
GroundedAI,Field Operations; Reality Capture; AI / Data Infrastructure,Seed,"Vancouver, BC, Canada",,,https://www.groundedai.com,"System of record for underground construction, field capture and analysis of ground composition and rock quality observations for tunnelling, civil and underground mining teams."
Gryps,Owner / Facilities,Seed,"New York, NY",,,https://www.gryps.io,"Managed AI ingesting construction/facilities documents for owners (universities, hospitals, infra) making asset data queryable post-handover"
Guthrie AI,Preconstruction & Estimating; AI / Data Infrastructure,Seed,"Philadelphia, PA",,,https://www.guthrieai.com,"AI 'Virtual Bid Assistant' platform that automates bid prep, scope takeoff, and RFI tracking for glazing and specialty-trade estimators."
HammerTech,Safety,Growth / PE,,,,,Construction safety-management technology platform founded by Ben Leach.
Hardline,Field Operations,Unknown,,,,https://hardlineapp.com,"Construction field app (upcoming guest company, enrich after discovery call)"
HCSS,Preconstruction & Estimating; Project Management,Public,,,,,"Heavy-civil/infrastructure estimating and project management software, now part of Nemetschek's Build segment."
Higharc,Preconstruction & Estimating; Design / BIM / VDC; AI / Data Infrastructure,Series C+,"North Carolina, USA",,,https://higharc.com,AI homebuilding platform that turns homes into 3D spatial data to auto-generate permit-ready documents and real-time takeoffs.
Highwire,Safety,Unknown,,,,,"Contractor risk-management platform for prequalification, compliance, and safety data used by GCs and owners."
Hive (Hive Autonomy),Robotics & Hardware; AI / Data Infrastructure,Seed,"Oslo, Norway & London, UK",,,https://hiveautonomy.no,"Physical-AI 'silicon brain', a foundational model and software layer that retrofits construction and industrial machines (e.g. wheel loaders) for autonomous and remote-teleoperated operation."
HomeRun,Supply Chain & Procurement,Series A,"Bengaluru, India",,,,"Quick-commerce platform delivering cement, plywood, paint, electrical and other building materials to contractors and homeowners in Bengaluru within 60 minutes."
Hyperion Robotics,Robotics & Hardware; Sustainability; Supply Chain & Procurement,Unknown,"Espoo, Finland",,,https://www.hyperionrobotics.com,"Deploys mobile 3D-printing robotic microfactories that cast low-carbon reinforced concrete infrastructure components, substation bases, bridge elements, water systems, on or near site."
ICON,Robotics & Hardware,Growth / PE,,,,,3D-printed concrete construction company building homes and government facilities via large-format additive manufacturing.
Infra.Market,Supply Chain & Procurement,Growth / PE,,,,,Large construction materials procurement marketplace/platform based in India (Foundamental portfolio company).
Inlay,Preconstruction & Estimating,Seed,,,,,"AI-native construction risk management platform for catching contract/bid risk (e.g., missed clauses) before award."
Invite,Sustainability,Pre-seed,,,,,Frankfurt-based smart streetlight retrofit startup expanding into US/EU municipal infrastructure markets.
Jabberwocki,Field Operations,Unknown,,,,,App for coordinating and vetting remote job-site walks.
JOIN,Owner / Facilities; Project Management,Series B,,,,,"Venture-backed AEC software platform for owners built around the thesis that owners want buildings, not software."
Kahua,Project Management; Financial / Payments; Owner / Facilities,Growth / PE,"Alpharetta, GA",yes,,https://kahua.com,"Construction program/project management and financial management platform (owner-centric, ERP-adjacent)"
Kaya AI,Supply Chain & Procurement,Pre-seed,"New York, NY",,,https://www.usekaya.ai,"Supply chain intelligence for data center / mission-critical projects: AI tracking procurement, lead times and delivery risk"
Kebra,Field Operations; AI / Data Infrastructure; Owner / Facilities,Pre-seed,"San Francisco, CA",,,https://www.kebra.com,"Vision-based system that guides field technicians through jobs and captures what they do, automatically triggering back-office workflows in ServiceTitan, financial software, and warranty portals."
Kewazo,Robotics & Hardware; Field Operations,Series A,,,,,Robotics company building vertical material-handling and scaffolding-automation systems for construction logistics.
Kind Designs,Robotics & Hardware; Sustainability; Owner / Facilities,Pre-seed,"Miami, FL",,,,"3D-prints ""Living Seawalls"", coastal armor that doubles as artificial reef habitat, for municipal, hospitality and federal shoreline infrastructure projects."
Kraaft,Field Operations,Series A,"Paris, France",,,https://www.kraaft.com,"'WhatsApp for construction', jobsite messaging that turns field photos and conversations into geolocated reports and structured field data"
Kuadra,Preconstruction & Estimating; Supply Chain & Procurement; AI / Data Infrastructure,Pre-seed,"Cairo, Egypt",,,,"AI platform for Egyptian contractors that analyzes tender documents, extracts technical specifications, allocates work packages to suppliers and subcontractors, and evaluates bids in one place."
LeanCon,Preconstruction & Estimating,Seed,Israel,,,https://www.leancon.ai,"AI pre-construction engineering converting preliminary building models into coordinated schedules, cost plans and logistics in minutes"
Light Table,Design / BIM / VDC,Series A,,,,,"AI platform that finds errors, omissions, and value-engineering opportunities in construction drawings; closed a $22M Series A."
Lotta Build,Robotics & Hardware; Design / BIM / VDC,Bootstrapped,,,,,"Bootstrapped industrialized-construction manufacturer of demountable/reconfigurable wall and build systems ('the 2x4 of the future') for retail, DoD, universities and health-station builders"
Lumber,Workforce / Training,Series A,"San Jose, CA",,,https://www.lumberfi.com,"AI workforce management for construction: payroll, time tracking, union compliance, safety and field productivity"
MaintainX,Owner / Facilities; Field Operations,Public,,,,,"Mobile-first maintenance and asset-management platform for operations teams, acquired by Autodesk to extend into building operations."
"Management Controls, Inc.",Supply Chain & Procurement; Owner / Facilities,Unknown,,,,,Contractor management software providing risk transparency and compliance tracking between owners and vendors.
Mango,Financial / Payments; Supply Chain & Procurement,Seed,"Mexico City, Mexico",,,,"Financial infrastructure platform for Mexican construction, connects contractors, developers, distributors and suppliers for procurement and payments, then uses that transaction data to build credit histories and extend financing."
MeltPlan,Preconstruction & Estimating,Seed,,,,https://www.meltplan.com,"AI-native preconstruction planning: scenario runs, automated takeoffs, code compliance and cost alignment before plans lock"
Mesh Robotics,Robotics & Hardware; Design / BIM / VDC,Seed,,,,,ETH Zurich robotics spinout building software and hardware that link BIM rebar models to robotic tying and assembly.
Modly,Design / BIM / VDC,Unknown,,yes,,,Technology vendor in industrialized / modular construction (standardization-flexibility strategy)
Monumental,Robotics & Hardware,Series B,"Amsterdam, Netherlands",,,https://www.monumental.co,"Small electric autonomous robots laying bricks on live sites, starting with facades and social housing in Europe"
Motif,Design / BIM / VDC,Series A,"San Francisco, CA",,,https://motif.io,"Cloud + AI building design platform from ex-Autodesk co-CEO Amar Hanspal, positioned as a Revit challenger"
Navatech,Safety; AI / Data Infrastructure,Unknown,,,,,"AI safety-tech company for construction, founded by Prakash Senghani."
Neuron Factory,Preconstruction & Estimating; AI / Data Infrastructure,Seed,,,,,Preconstruction knowledge-graph AI platform backed by Trimble Ventures and Suffolk Technologies.
Nomic,AI / Data Infrastructure; Design / BIM / VDC; Project Management,Unknown,"New York, NY",,,https://www.nomic.ai,"Domain-specific AI agent platform for AEC firms that automates drawing review, submittal review, RFI research, and code compliance checks grounded in a firm's own drawings, specs, and standards."
NotebookLM,AI / Data Infrastructure,Public,,,yes,https://notebooklm.google,"Google AI research assistant turning source material into summaries, audio, video and mind maps"
Novorender,Design / BIM / VDC; Reality Capture,Unknown,,,,,"BIM viewer company that streams massive 3D models to mobile devices, rooted in oil-and-gas digital-twin rendering tech."
nuuEnergy,Sustainability,Seed,,,,,Heat-pump installation hub network/platform expanding across Germany; raised a €4.3M seed round.
Nyfty.ai,Field Operations; AI / Data Infrastructure,Unknown,,,yes,https://nyfty.ai,"AI jobsite assistant automating daily reports, safety checks and manpower over SMS, no app or login"
OpenSpace,Reality Capture; AI / Data Infrastructure,Series C+,,yes,,,"Reality-capture and visual-intelligence platform for jobsites, expanding into spatial AI agents (Agent Space) after acquiring Disperse."
Outbuild,Scheduling,Series A,"San Francisco, CA",yes,,https://outbuild.com,Collaborative scheduling and lookahead planning connecting the master schedule to the field
PermitFlow,Project Management,Series B,"New York, NY",,,https://www.permitflow.com,"AI-powered permitting: automated permit research, application prep and submission tracking for builders"
Perry Weather,Safety; Field Operations,Unknown,,,yes,https://perryweather.com,Hyper-local jobsite weather monitoring with automated safety alerts
Pillar,Project Management,Seed,"Milan, Italy",,,https://www.pillar.it,"AI operating system for contractors unifying PM, estimates, invoicing, procurement, margin tracking and workforce activity"
Planera,Scheduling,Series A,"Pleasanton, CA",yes,,https://planera.io,Collaborative CPM scheduling and planning for complex projects; sells to ENR 400 GCs
Primepoint AI,AI / Data Infrastructure; Design / BIM / VDC,Seed,"San Mateo, CA",,yes,https://primepoint.ai,"AI that reads construction drawings, connects plans, specs, RFIs and submittals, auto-flags clashes and gaps, answers questions traced to the exact detail"
Printerra,Robotics & Hardware,Unknown,,,,,Canadian additive-construction (3D concrete printing) company providing advisory and printing services.
ProcurePro,Supply Chain & Procurement,Series B,,,,,Construction procurement and buyout software that closed an $11M Series B.
ProjectMark,Preconstruction & Estimating,Unknown,,,,,Construction-focused CRM and proposal/RFP software helping contractors track business development and sell preconstruction services.
Projexion,AI / Data Infrastructure; Project Management,Unknown,,yes,yes,https://projexion.io,"Project intelligence aggregating data from existing tools (Procore, P6) into unified project health"
Prolo,Supply Chain & Procurement; AI / Data Infrastructure,Seed,"London, UK",,,https://prolo.io,"AI-powered procurement service for SME construction contractors, order materials and plant hire via WhatsApp/email/phone and get trade rates from a 185+ supplier network plus up to 90-day credit."
Pronto,Robotics & Hardware,Unknown,,,,,Anthony Levandowski's autonomy company building self-driving/autonomous heavy equipment technology.
Provision,Preconstruction & Estimating; AI / Data Infrastructure,Unknown,,,,,"AI estimating startup building agents for GCs and subs, including a 'Scope Agent' that generates scopes of work from construction documents."
Provizual,Field Operations; Project Management,Unknown,,,yes,https://provizual.com,Cloud platform overlaying inspection and QA/QC status onto project drawings with color-coding
QNECT,Design / BIM / VDC,Unknown,,yes,,https://qnect.com,Steel connection design optimization software for structural engineering and fabrication
Qonic,Design / BIM / VDC,Unknown,"Ghent, Belgium",,,https://www.qonic.com,"Cloud BIM modeling combining solid modeling, open interoperability and real-time collaboration, from ex-Bricsys founders"
QUICKBLOCK,Robotics & Hardware; Sustainability; Supply Chain & Procurement,Seed,"Scotland, UK",,,https://quickblock.uk,"Scottish maker of a flat-pack interlocking modular building system made from 100% recycled polypropylene, used for rapidly deployable training environments and ballistic, blast, and drone protection structures."
Raise Robotics,Robotics & Hardware,Unknown,"San Francisco, CA",yes,,https://raiserobotics.com,Mobile manipulator robots for facade construction and high-hazard installation work
Relay Construction Services,Preconstruction & Estimating,Unknown,,,,,Budget and buyout software startup replacing Excel-based workflows for preconstruction.
Revizto,Design / BIM / VDC; Project Management,Unknown,,yes,,,"AEC collaboration and BIM-coordination software, also known for its industry survey research on project budget overruns."
RhinoDox,Preconstruction & Estimating; AI / Data Infrastructure,Unknown,,,,https://rhinodox.com,"AI risk assessment and proposal/bidding workflow platform, expert-persona system generating risk analysis, win probability and project briefs; $20B+ of projects processed"
Rhumbix,Field Operations; Workforce / Training,Public,,,,,"Construction labor-tracking and timekeeping platform for field crews, acquired by Autodesk."
RMOne,Preconstruction & Estimating; Financial / Payments,Bootstrapped,,,,,"ERP platform built to solve preconstruction data and workflow gaps, self-funded without VC backing."
Roger,Preconstruction & Estimating; Field Operations,Unknown,,,yes,https://tryroger.com,"AI workspace auto-generating project logs (scope sheets, bid forms, inspection logs) from drawings"
RS Means,Preconstruction & Estimating,Unknown,,,,,Widely used construction cost-data and cost-index reference used to benchmark and adjust estimates.
Rugged Robotics,Robotics & Hardware,Unknown,"Houston, TX",,yes,https://rugged-robotics.com,Autonomous robot (Mark 1) printing BIM layout onto jobsite floors at millimeter accuracy
Saible,Financial / Payments; Supply Chain & Procurement,Seed,"Birmingham, UK",,,https://saible.co.uk,"Construction payments fintech whose Digital Parallel Payment Account holds project funds in trust with a regulated bank and releases them simultaneously to every approved firm across all tiers of the supply chain, instead of cascading down the chain."
Salus,Safety,Unknown,,,,,Construction safety-technology company founded by Gabe Getta.
Scoreboard AI,Preconstruction & Estimating,Unknown,,,yes,https://scoreboardai.net,Automated scope review of drawings and specs via customizable checklists; assigns bid packages
Sensera Systems,Safety; Reality Capture,Series B,"Golden, CO",,,https://www.senserasystems.com,SiteCloud jobsite cameras with AI interpreting site imagery to flag safety hazards and OSHA-violation risks
ServiceTitan,Field Operations,Public,,,,,"Vertical field-service management software for trades contractors (plumbing, electrical, HVAC)."
Shepherd,Financial / Payments,Series B,"San Francisco, CA",,,https://www.shepherdinsurance.com,"AI-native commercial P&C insurance for construction, underwriting with live data from contech platforms"
Sitegeist,Robotics & Hardware; Field Operations,Pre-seed,,,,,"TU Munich spinout building modular, van-sized robots for high-pressure water-lance concrete demolition and renovation, starting with parking garages."
SiteLink,Design / BIM / VDC; Field Operations,Unknown,,,,,"BIM viewer for active construction, Babylon.js web + Cesium iOS, custom C++ Revit/ACC-to-GLTF tile pipeline on Google Cloud, QR positioning via Multiset partnership"
Sledge,Project Management; Preconstruction & Estimating; Financial / Payments; AI / Data Infrastructure,Unknown,"Las Vegas, NV (founder also operates Ferrocrete Builders in Los Angeles, CA)",,,https://www.getsledge.com,"AI-native construction operating system whose agentic AI writes bids, runs jobs, sends invoices and chases payments, running a contractor's company from bid to build to paid."
SmartPM,Scheduling,Unknown,"Atlanta, GA",yes,,https://smartpmtech.com,Schedule analytics and delay analysis automated from P6/MSP data
SmrtBld,,Unknown,,,,https://smrtbld.com,"Construction tech company (early conversation, category TBD)"
SnapScale,Design / BIM / VDC; AI / Data Infrastructure,Seed,South Korea,,,,"Generative-AI layer (AutoFlow) that sits inside existing CAD environments so plant and EPC engineers can generate, modify and review design documents without switching systems."
Snaptrude,Design / BIM / VDC,Series A,"New York, NY",,,https://www.snaptrude.com,"Browser-based AI-powered BIM for architects, focused on conceptual and schematic design"
Sodex Innovations,Reality Capture; Field Operations,Seed,"Vorarlberg, Austria",,,https://www.sodex-innovations.com,Machine-integrated laser scanning plus SDX-Cloud platform that turns excavators and heavy equipment into real-time construction-site surveying and progress-documentation sensors.
Sonabel Instruments,Robotics & Hardware; Field Operations,Seed,,,,,Develops an acoustic weld-defect-detection sensor.
SP10 / Build.ai (working name),Project Management; AI / Data Infrastructure,Pre-seed,,,,,"Alpha-stage AI submittal review, checks submittals against specs/drawings, generates marked-up PDFs with comments and cover sheets; targeting $30M–$300M GCs"
Speckle,Design / BIM / VDC; AI / Data Infrastructure,Series A,,,,,"Open-source data-interoperability layer for 3D/AEC models, enabling BIM data exchange across tools."
